lat,long,elev,timediff
408635238,-778325722,3330,0:40:27.390000,2a3c600a
408635238,-778325722,3330,0:40:27.440000,2a3c600a
408635238,-778325722,3330,0:40:27.590000,2a3c600a
408635238,-778325722,3330,0:40:27.800000,2a3c600a
408635238,-778325722,3330,0:40:27.860000,2a3c600a
408635238,-778325722,3330,0:40:27.910000,2a3c600a
408635238,-778325722,3330,0:40:28.010000,2a3c600a
408635238,-778325722,3330,0:40:28.120000,2a3c600a
408635238,-778325722,3330,0:40:28.220000,2a3c600a
408635238,-778325722,3330,0:40:28.330000,2a3c600a
408635238,-778325722,3330,0:40:28.430000,2a3c600a
408635238,-778325722,3330,0:40:28.610000,2a3c600a
408635238,-778325722,3330,0:40:28.730000,2a3c600a
408635237,-778325722,3330,0:40:28.830000,2a3c600a
408635237,-778325722,3330,0:40:28.940000,2a3c600a
408635237,-778325722,3330,0:40:29.040000,2a3c600a
408635237,-778325722,3330,0:40:29.140000,2a3c600a
408635237,-778325722,3330,0:40:29.240000,2a3c600a
408635237,-778325722,3330,0:40:29.280000,2a3c600a
408635237,-778325722,3330,0:40:29.350000,2a3c600a
408635237,-778325722,3330,0:40:29.410000,2a3c600a
408635237,-778325722,3330,0:40:29.420000,2a3c600a
408635237,-778325722,3330,0:40:29.440000,2a3c600a
408635237,-778325722,3330,0:40:29.450000,2a3c600a
408635237,-778325722,3330,0:40:29.460000,2a3c600a
408635237,-778325722,3330,0:40:29.470000,2a3c600a
408635237,-778325722,3330,0:40:29.510000,2a3c600a
408635237,-778325722,3330,0:40:29.560000,2a3c600a
408635237,-778325722,3330,0:40:29.580000,2a3c600a
408635237,-778325722,3330,0:40:29.660000,2a3c600a
408635237,-778325722,3330,0:40:29.770000,2a3c600a
408635237,-778325722,3330,0:40:29.860000,2a3c600a
408635237,-778325722,3330,0:40:29.960000,2a3c600a
408635237,-778325722,3330,0:40:30.060000,2a3c600a
408635237,-778325722,3330,0:40:30.160000,2a3c600a
408635237,-778325722,3330,0:40:30.260000,2a3c600a
408635237,-778325722,3330,0:40:30.380000,2a3c600a
408635237,-778325722,3330,0:40:30.470000,2a3c600a
408635237,-778325722,3330,0:40:30.560000,2a3c600a
408635237,-778325722,3330,0:40:30.670000,2a3c600a
408635237,-778325722,3330,0:40:30.760000,2a3c600a
408635237,-778325722,3330,0:40:30.860000,2a3c600a
408635237,-778325722,3330,0:40:30.960000,2a3c600a
408635237,-778325722,3330,0:40:31.060000,2a3c600a
408635237,-778325722,3330,0:40:31.160000,2a3c600a
408635237,-778325722,3330,0:40:31.260000,2a3c600a
408635237,-778325722,3330,0:40:31.360000,2a3c600a
408635237,-778325722,3330,0:40:31.460000,2a3c600a
408635237,-778325722,3330,0:40:31.560000,2a3c600a
408635237,-778325722,3330,0:40:31.660000,2a3c600a
408635237,-778325722,3330,0:40:31.760000,2a3c600a
408635237,-778325722,3330,0:40:31.880000,2a3c600a
408635237,-778325722,3330,0:40:31.960000,2a3c600a
408635237,-778325722,3330,0:40:32.060000,2a3c600a
408635237,-778325722,3330,0:40:32.160000,2a3c600a
408635237,-778325722,3330,0:40:32.260000,2a3c600a
408635237,-778325722,3330,0:40:32.360000,2a3c600a
408635237,-778325722,3330,0:40:32.460000,2a3c600a
408635237,-778325722,3330,0:40:32.560000,2a3c600a
408635237,-778325722,3330,0:40:32.660000,2a3c600a
408635237,-778325722,3330,0:40:32.760000,2a3c600a
408635237,-778325722,3330,0:40:32.870000,2a3c600a
408635237,-778325722,3330,0:40:32.960000,2a3c600a
408635237,-778325722,3330,0:40:33.060000,2a3c600a
408635237,-778325722,3330,0:40:33.160000,2a3c600a
408635237,-778325722,3330,0:40:33.260000,2a3c600a
408635237,-778325722,3330,0:40:33.360000,2a3c600a
408635237,-778325722,3330,0:40:33.460000,2a3c600a
408635237,-778325722,3330,0:40:33.510000,2a3c600a
408635237,-778325722,3330,0:40:33.610000,2a3c600a
408635237,-778325722,3330,0:40:33.710000,2a3c600a
408635237,-778325722,3330,0:40:33.810000,2a3c600a
408635237,-778325722,3330,0:40:33.910000,2a3c600a
408635237,-778325722,3330,0:40:34.010000,2a3c600a
408635237,-778325722,3330,0:40:34.110000,2a3c600a
408635237,-778325722,3330,0:40:34.210000,2a3c600a
408635237,-778325722,3330,0:40:34.310000,2a3c600a
408635237,-778325722,3330,0:40:34.410000,2a3c600a
408635237,-778325722,3330,0:40:34.590000,2a3c600a
408635237,-778325722,3330,0:40:34.680000,2a3c600a
408635237,-778325722,3330,0:40:34.780000,2a3c600a
408635237,-778325722,3330,0:40:34.970000,2a3c600a
408635237,-778325722,3330,0:40:35.030000,2a3c600a
408635237,-778325722,3330,0:40:35.180000,2a3c600a
408635237,-778325722,3330,0:40:35.390000,2a3c600a
408635237,-778325722,3330,0:40:35.460000,2a3c600a
408635237,-778325722,3330,0:40:35.470000,2a3c600a
408635237,-778325722,3330,0:40:35.620000,2a3c600a
408635237,-778325722,3330,0:40:35.690000,2a3c600a
408635237,-778325722,3330,0:40:35.790000,2a3c600a
408635237,-778325722,3330,0:40:35.990000,2a3c600a
408635237,-778325722,3330,0:40:36.050000,2a3c600a
408635237,-778325722,3330,0:40:36.210000,2a3c600a
408635237,-778325722,3330,0:40:36.410000,2a3c600a
408635237,-778325722,3330,0:40:36.470000,2a3c600a
408635237,-778325722,3330,0:40:36.620000,2a3c600a
408635237,-778325722,3330,0:40:36.830000,2a3c600a
408635237,-778325722,3330,0:40:36.880000,2a3c600a
408635237,-778325722,3330,0:40:37.030000,2a3c600a
408635237,-778325722,3330,0:40:37.220000,2a3c600a
408635237,-778325722,3330,0:40:37.430000,2a3c600a
408635237,-778325722,3330,0:40:37.480000,2a3c600a
408635237,-778325722,3330,0:40:37.840000,2a3c600a
408635237,-778325722,3330,0:40:37.920000,2a3c600a
408635237,-778325722,3330,0:40:37.940000,2a3c600a
408635237,-778325722,3330,0:40:38.050000,2a3c600a
408635237,-778325722,3330,0:40:38.150000,2a3c600a
408635237,-778325722,3330,0:40:38.250000,2a3c600a
408635237,-778325722,3330,0:40:38.370000,2a3c600a
408635237,-778325722,3330,0:40:38.470000,2a3c600a
408635237,-778325722,3330,0:40:38.580000,2a3c600a
408635237,-778325722,3330,0:40:38.660000,2a3c600a
408635237,-778325722,3330,0:40:38.780000,2a3c600a
408635237,-778325722,3330,0:40:38.860000,2a3c600a
408635237,-778325722,3330,0:40:38.970000,2a3c600a
408635237,-778325722,3330,0:40:39.070000,2a3c600a
408635237,-778325722,3330,0:40:39.180000,2a3c600a
408635237,-778325722,3330,0:40:39.290000,2a3c600a
408635237,-778325722,3330,0:40:39.380000,2a3c600a
408635237,-778325722,3330,0:40:39.410000,2a3c600a
408635237,-778325722,3330,0:40:39.430000,2a3c600a
408635237,-778325722,3330,0:40:39.430000,2a3c600a
408635237,-778325722,3330,0:40:39.470000,2a3c600a
408635237,-778325722,3330,0:40:39.490000,2a3c600a
408635237,-778325722,3330,0:40:39.490000,2a3c600a
408635237,-778325722,3330,0:40:39.530000,2a3c600a
408635237,-778325722,3330,0:40:39.590000,2a3c600a
408635237,-778325722,3330,0:40:39.600000,2a3c600a
408635237,-778325722,3330,0:40:39.620000,2a3c600a
408635237,-778325722,3330,0:40:39.640000,2a3c600a
408635237,-778325722,3330,0:40:39.690000,2a3c600a
408635237,-778325722,3330,0:40:39.790000,2a3c600a
408635237,-778325722,3330,0:40:39.890000,2a3c600a
408635237,-778325722,3330,0:40:39.990000,2a3c600a
408635237,-778325722,3330,0:40:40.090000,2a3c600a
408635237,-778325722,3330,0:40:40.190000,2a3c600a
408635237,-778325722,3330,0:40:40.300000,2a3c600a
408635237,-778325722,3330,0:40:40.400000,2a3c600a
408635237,-778325722,3330,0:40:40.500000,2a3c600a
408635237,-778325722,3330,0:40:40.590000,2a3c600a
408635237,-778325722,3330,0:40:40.710000,2a3c600a
408635237,-778325722,3330,0:40:40.800000,2a3c600a
408635237,-778325722,3330,0:40:40.890000,2a3c600a
408635237,-778325722,3330,0:40:40.990000,2a3c600a
408635237,-778325722,3330,0:40:41.100000,2a3c600a
408635237,-778325722,3330,0:40:41.190000,2a3c600a
408635237,-778325722,3330,0:40:41.290000,2a3c600a
